Bank information,,,,,,,Mandatory criteria,,,,,,,,,,,,,Additional capabilities (non-mandatory for certification),,,,,,,,,,,,,,,,,,,,,,,,,
BIC of the mother organisation,BIC8 (branch BIC),Name of the mother organisation,Name of BIC8 (Branch Name),Country,Country code,Certification,SCORE,Credit Transfers (MT101),Payments pain.001 ISO 20022 (advanced certification only),Cash Reporting (MT940),MT 942 (advanced certification only),Cash Management camt.053 ISO 20022 (advanced certification only),File Act (RT or S&F),Testing,Onboarding guide,Support,Staff trained,Documentation,Contact email,gpi,,Treasury (MT),,Cash Management (MT),,Trade MT798,,,,Trade FA,Payments (ISO20022),,Cash Management (ISO20022),,,eStatements (PDF),Bank Account Management (ISO20022),CGI-MP guidelines,3SKey,,MyStandards,,TSU / BPO,Staff certified,Hyperlink to bank's webpage
,,,,,,,,,,,,,,,,,,,,gpi member,gpi payments (gCCT) – live,MT 300,MT 320,MT 210,MT 900 MT 910,GTI – Guarantee Issuance messages,GTR – Guarantee Receipt messages,LCE – Export Documentary Credit messages,LCI – Import Documentary Credit messages,,pain.002,Remt.001,camt.052,camt.054,camt.086,,EBAM (acmt),Common Global Implementation Guidelines,Personal signatures,Web authentication,Standards publishing,Readiness portal,,,
ABDIAEAD,ABDIAEAD,Abu Dhabi Islamic Bank,Abu Dhabi Islamic Bank - UAE,United Arab Emirates,AE,entry,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,Nadim.Kamil@adib.com,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,http://www.adib.ae/en
ABNANL2A,ABNANL2A,ABN AMRO BANK N.V,ABN AMRO BANK N.V,Netherlands,NL,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,https://www.abnamro.nl/nl/zakelijk/betalen/swift/index.html
ABNGNGLA,AZAMZMLU,ACCESS BANK PLC,Access Bank Zambia,Nigeria,NG,advanced,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,joash.omole@accessbankplc.com,yes,yes,yes,yes,no,yes,no,no,yes,yes,no,yes,no,no,no,no,yes,no,no,yes,yes,yes,yes,no,no,https://www.accessbankplc.com/
ABOCCNBJ,ABOCCNBJ,Agricultural Bank of China,THE AGRICULTURAL BANK OF CHINA,China,CN,advanced,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,http://www.abchina.com/cn/businesses/cashmgmt/200912/t20091217_23948.htm
ABSAZAJJ,ABSAZAJJ,ABSA BANK LIMITED,ABSA BANK LIMITED,South Africa,ZA,advanced,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,
AKBKTRISXXX,AKBKTRIS,AKBANK T.A.S.,AKBANK T.A.S.,TURKEY,TR,advanced ,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,AyseBanu.Battal@akbank.com,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,http://www.akbank.com/tr-tr/sayfalar/
ANZBAU3M,ANZBPHMX,AUSTRALIA AND NEW ZEALAND BANKING,AUSTRALIA & NEW ZEALAND BANKING GP,Philippines,PH,entry,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,http://www.anz.com.au/corporate/products-services/transaction-services/electronic-banking/anz-score-services/
ANZBAU3M,ANZBFJFX,AUSTRALIA AND NEW ZEALAND BANKING,AUSTRALIA & NEW ZEALAND BANKING LTD,Fiji,FJ,entry,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,http://www.anz.com.au/corporate/products-services/transaction-services/electronic-banking/anz-score-services/
ANZBAU3M,ANZBAU3M,AUSTRALIA AND NEW ZEALAND BANKING,AUSTRALIA AND NEW ZEALAND BANKING,Australia,AU,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,http://www.anz.com.au/corporate/products-services/transaction-services/electronic-banking/anz-score-services/
